row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time
16,16,256,0,0,0.010000,0,0,0
16,16,256,74,81,0.020000,131072,131328,661828
16,16,256,119,114,0.030000,131072,131328,676669
16,16,256,141,160,0.040000,131072,131328,677219
16,16,256,209,208,0.050000,131072,131328,663700
16,16,256,253,243,0.060000,131072,131328,664132
16,16,256,303,287,0.070000,131072,131328,663130
16,16,256,290,298,0.080000,131072,131328,706903
16,16,256,360,379,0.090000,131072,131328,662368
16,16,256,404,415,0.100000,131072,131328,708343
16,16,256,465,443,0.110000,131072,131328,663426
16,16,256,829,847,0.210000,131072,131328,662633
16,16,256,1250,1294,0.310000,131072,131328,731093
16,16,256,1682,1757,0.410000,131072,131328,663549
16,16,256,2091,2088,0.510000,131072,131328,662426
16,16,256,2479,2484,0.610000,131072,131328,663191
16,16,256,2955,2904,0.710000,131072,131328,662307
16,16,256,3332,3326,0.810000,131072,131328,662404
16,16,256,3732,3720,0.910000,131072,131328,707046
16,16,256,4096,4096,1.010000,131072,131328,662927
