row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time
16,16,256,0,0,0.010000,0,0,0
16,16,256,74,81,0.020000,38,404,2227
16,16,256,119,114,0.030000,110,728,3757
16,16,256,141,160,0.040000,192,980,4976
16,16,256,209,208,0.050000,334,1536,7412
16,16,256,253,243,0.060000,438,1920,9182
16,16,256,303,287,0.070000,652,2548,12006
16,16,256,290,298,0.080000,666,2524,11603
16,16,256,360,379,0.090000,1012,3496,16454
16,16,256,404,415,0.100000,1308,4264,18848
16,16,256,465,443,0.110000,1530,4952,21496
16,16,256,829,847,0.210000,5510,14368,73040
16,16,256,1250,1294,0.310000,12630,30292,148884
16,16,256,1682,1757,0.410000,23138,53036,252470
16,16,256,2091,2088,0.510000,33980,76356,356512
16,16,256,2479,2484,0.610000,48048,106044,490060
16,16,256,2955,2904,0.710000,66938,145728,665240
16,16,256,3332,3326,0.810000,86658,186676,838308
16,16,256,3732,3720,0.910000,108442,231844,1029087
16,16,256,4096,4096,1.010000,131072,278560,1211800
