row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time
16,16,16,0,0,0.000000,0,0,0
16,16,16,0,0,0.001000,0,32,485
16,16,16,0,0,0.002000,0,32,481
16,16,16,1,1,0.003000,0,36,485
16,16,16,2,1,0.004000,0,40,480
16,16,16,1,1,0.005000,0,36,481
16,16,16,1,3,0.006000,0,36,479
16,16,16,3,0,0.007000,0,44,483
16,16,16,0,3,0.008000,0,32,479
16,16,16,5,1,0.009000,0,52,483
16,16,16,3,5,0.010000,2,48,491
16,16,16,7,1,0.020000,0,60,485
16,16,16,4,6,0.030000,4,56,481
16,16,16,11,9,0.040000,18,112,501
16,16,16,6,15,0.050000,16,88,489
16,16,16,20,12,0.060000,34,180,525
16,16,16,18,11,0.070000,32,168,521
16,16,16,27,18,0.080000,44,228,546
16,16,16,23,29,0.090000,86,296,553
16,16,16,29,22,0.100000,80,308,561
16,16,16,35,17,0.110000,62,296,562
16,16,16,54,46,0.210000,324,896,727
16,16,16,75,94,0.310000,912,2156,1068
16,16,16,109,100,0.410000,1392,3252,1404
16,16,16,127,133,0.510000,2102,4744,1770
16,16,16,142,138,0.610000,2464,5528,1985
16,16,16,180,195,0.710000,4404,9560,2930
16,16,16,207,211,0.810000,5456,11772,3429
16,16,16,233,232,0.910000,6762,14488,4273
16,16,16,256,256,1.010000,8192,17440,5035
