row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time,bytes,cache
512,512,512,26327,26014,0.100000,2674934,53486333,783351351,225693644,9854
512,512,512,78636,78734,0.300000,24184874,161248026,2471277089,742780176,20482
512,512,512,131360,131729,0.500000,67585498,269827684,4071259238,1350701304,445478
512,512,512,183081,183508,0.700000,131243824,376025441,4787412571,2030125636,819584
512,512,512,236090,236146,0.900000,217779242,484499590,5028408560,2810163904,215616
