row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time,bytes,cache
512,512,512,26327,26014,0.100000,2674934,5404570,48784942,37773192,45
512,512,512,78636,78734,0.300000,24184874,48529068,441925911,339540060,37810
512,512,512,131360,131729,0.500000,67585498,135435764,1236821974,947781484,74575
512,512,512,183081,183508,0.700000,131243824,262855858,2409401637,1839618700,140517
512,512,512,236090,236146,0.900000,217779242,436032712,3978844285,3051750660,196679
