row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time,bytes,cache
512,512,512,26327,26014,0.100000,2674934,5454948,47649696,37973452,529
512,512,512,78636,78734,0.300000,24184874,48685708,429275410,340167012,76131
512,512,512,131360,131729,0.500000,67585498,135698936,1189342297,948835648,155318
512,512,512,183081,183508,0.700000,131243824,263222704,2319747183,1841087792,618857
512,512,512,236090,236146,0.900000,217779242,436504092,3819435528,3053636404,1937100
