row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time,bytes,cache
512,512,512,26327,26014,0.100000,2674934,53722662,781616569,227687536,9195
512,512,512,78636,78734,0.300000,24184874,161432046,2458716601,744564832,20176
512,512,512,131360,131729,0.500000,67585498,269958980,4017636341,1352275064,216688
512,512,512,183081,183508,0.700000,131243824,376105016,4804349469,2031492512,1349147
512,512,512,236090,236146,0.900000,217779242,484526156,5148929913,2811318744,1197637
