row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time,bytes,cache
512,512,512,26327,26014,0.100000,26958848,40491950,359053652,323826196,74195
512,512,512,78636,78734,0.300000,80523264,120943192,1082203271,967226896,167785
512,512,512,131360,131729,0.500000,134512640,202032704,1807249246,1615732096,317734
512,512,512,183081,183508,0.700000,187474944,281579602,2514106888,2251900396,444090
512,512,512,236090,236146,0.900000,241756160,363107444,3248182642,2903911096,592727
