row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time,bytes,cache
512,512,512,26327,26014,0.100000,2674934,5430072,50471886,37875200,4596
512,512,512,183591,183700,0.700000,131743628,264039674,2441132135,1847354828,147900
512,512,512,235822,235824,0.900000,217234168,435177340,4034253590,3045057656,222028
