row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time,bytes,cache
512,512,512,26327,26014,0.100000,26638336,54063104,507239136,377131008,23499
512,512,512,183591,183700,0.700000,188108800,377004032,3565766914,2637717504,699865
512,512,512,235822,235824,0.900000,241483776,483753984,4539551673,3384967168,1029871
