row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time,bytes,cache
512,512,512,26327,26014,0.100000,2674934,53722662,780080319,227687536,8948
512,512,512,183591,183700,0.700000,131743628,376842080,4813661599,2036439984,1044290
512,512,512,235822,235824,0.900000,217234168,483899758,5168925936,2806632856,1327516
