row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time,bytes
64,64,64,0,0,0.000000,0,0,456,0
64,64,64,36,42,0.010000,32,272,2463,1424
64,64,64,173,220,0.050000,1200,3326,25885,21196
64,64,64,427,422,0.100000,5708,13615,103595,90416
64,64,64,837,821,0.200000,21412,47073,342527,320112
64,64,64,1249,1223,0.300000,47742,101793,739084,698620
64,64,64,1608,1630,0.400000,81632,171368,1224849,1181696
64,64,64,2090,2030,0.500000,132802,276118,1818314,1909644
64,64,64,2390,2442,0.600000,182240,376494,2704399,2608976
64,64,64,2856,2917,0.700000,260450,535244,3843702,3715100
64,64,64,3275,3304,0.800000,338318,693075,4986373,4815308
64,64,64,3658,3711,0.900000,424464,867282,6249216,6030544
64,64,64,4096,4096,1.000000,524288,1069120,7751343,7438592
