row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time,bytes
64,64,64,0,0,0.000000,0,0,456,0
64,64,64,36,42,0.010000,32,2282,16669,9368
64,64,64,173,220,0.050000,1200,20399,126308,89480
64,64,64,427,422,0.100000,5708,46904,326145,223572
64,64,64,837,821,0.200000,21412,104237,779395,548768
64,64,64,1249,1223,0.300000,47742,185345,1351338,1032828
64,64,64,1608,1630,0.400000,81632,280243,1890410,1617196
64,64,64,2090,2030,0.500000,132802,410112,2951603,2445620
64,64,64,2390,2442,0.600000,182240,536137,3528147,3247548
64,64,64,2856,2917,0.700000,260450,724201,5101370,4470928
64,64,64,3275,3304,0.800000,338318,906087,6362338,5667356
64,64,64,3658,3711,0.900000,424464,1105436,7330592,6983160
64,64,64,4096,4096,1.000000,524288,1331264,9248149,8487168
