row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time,bytes
64,64,64,0,0,0.000000,0,0,456,0
64,64,64,36,42,0.010000,4608,7048,49589,55984
64,64,64,173,220,0.050000,22144,33796,246752,268740
64,64,64,427,422,0.100000,54656,83329,621915,662960
64,64,64,837,821,0.200000,107136,163279,1232388,1299280
64,64,64,1249,1223,0.300000,159872,243619,1838649,1938704
64,64,64,1608,1630,0.400000,205824,313624,2333995,2495872
64,64,64,2090,2030,0.500000,267520,407614,2848216,3243936
64,64,64,2390,2442,0.600000,305920,466114,3260151,3709536
64,64,64,2856,2917,0.700000,365568,556984,4160947,4432768
64,64,64,3275,3304,0.800000,419200,638689,4834877,5083056
64,64,64,3658,3711,0.900000,468224,713374,5311735,5677472
64,64,64,4096,4096,1.000000,524288,798784,6089569,6357248
