row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time,bytes
64,64,64,0,0,0.000000,524288,532480,3943128,4259840
64,64,64,36,42,0.010000,524288,532480,4115182,4259840
64,64,64,173,220,0.050000,524288,532480,4105865,4259840
64,64,64,427,422,0.100000,524288,532480,4021110,4259840
64,64,64,837,821,0.200000,524288,532480,4016229,4259840
64,64,64,1249,1223,0.300000,524288,532480,4019293,4259840
64,64,64,1608,1630,0.400000,524288,532480,4089798,4259840
64,64,64,2090,2030,0.500000,524288,532480,4004172,4259840
64,64,64,2390,2442,0.600000,524288,532480,3914203,4259840
64,64,64,2856,2917,0.700000,524288,532480,3830957,4259840
64,64,64,3275,3304,0.800000,524288,532480,3963879,4259840
64,64,64,3658,3711,0.900000,524288,532480,4015053,4259840
64,64,64,4096,4096,1.000000,524288,532480,3875993,4259840
