row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time,bytes
16,16,256,0,0,0.000000,0,768,14874,4096
16,16,256,36,42,0.010000,1344,2784,48535,17536
16,16,256,173,220,0.050000,7040,11328,192470,74496
16,16,256,427,422,0.100000,13504,21024,343053,139136
16,16,256,837,821,0.200000,26272,40176,646594,266816
16,16,256,1249,1223,0.300000,39136,59472,935230,395456
16,16,256,1608,1630,0.400000,52160,79008,1255024,525696
16,16,256,2090,2030,0.500000,64960,98208,1561103,653696
16,16,256,2390,2442,0.600000,78144,117984,1873356,785536
16,16,256,2856,2917,0.700000,93344,140784,2232482,937536
16,16,256,3275,3304,0.800000,105728,159360,2525192,1061376
16,16,256,3658,3711,0.900000,118752,178896,2840564,1191616
16,16,256,4096,4096,1.000000,131072,197376,3141146,1314816
