row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time,bytes
16,16,256,37,45,0.010000,12,204,1799,1036
16,16,256,71,80,0.020000,52,420,3237,2276
16,16,256,108,126,0.030000,114,692,5066,3884
16,16,256,149,171,0.040000,210,1048,7834,6048
16,16,256,203,200,0.050000,272,1388,10777,7996
16,16,256,264,231,0.060000,442,1972,14266,11596
16,16,256,269,256,0.070000,526,2160,15683,12872
16,16,256,317,324,0.080000,872,3044,22575,18676
16,16,256,387,367,0.090000,1150,3880,29092,23968
16,16,256,410,418,0.100000,1256,4184,31439,25912
16,16,256,778,801,0.200000,4774,12692,105006,82524
16,16,256,1218,1256,0.300000,11970,28844,211146,192068
16,16,256,1649,1659,0.400000,21542,49712,357720,334696
16,16,256,2067,2018,0.500000,32356,73012,518880,494452
16,16,256,2448,2451,0.600000,47066,103956,764419,708012
16,16,256,2890,2872,0.700000,64886,141364,982580,966332
16,16,256,3284,3261,0.800000,83738,180644,1253016,1238140
16,16,256,3699,3662,0.900000,105760,226348,1557573,1554748
