k,function,time,faults,bytes,flops,memops,cache,branch
5,CSR_x_CSR,8899,0,0,0,0,0,0
5,CSR_x_CSC,18678,0,0,0,0,0,5
5,CSR_x_COO,12720,0,0,0,0,0,1
5,CSC_x_CSR,10824,0,0,0,0,0,1
5,CSC_x_COO,11015,0,0,0,0,0,1
5,COO_x_CSR,8546,0,0,0,0,0,0
5,COO_x_CSC,17054,0,0,0,0,0,1
5,COO_x_COO,13774,0,0,0,0,0,1
4,CSR_x_CSR,10731,0,0,0,0,0,1
4,CSR_x_CSC,10297,0,0,0,0,0,0
4,CSR_x_COO,8296,0,0,0,0,0,0
4,CSC_x_CSR,9782,0,0,0,0,0,0
4,CSC_x_COO,11283,0,0,0,0,0,1
4,COO_x_CSR,9283,0,0,0,0,0,0
4,COO_x_CSC,13027,0,0,0,0,0,1
4,COO_x_COO,12363,0,0,0,0,0,1
3,CSR_x_CSR,8833,0,0,0,0,0,0
3,CSR_x_CSC,9372,0,0,0,0,0,0
3,CSR_x_COO,11899,0,0,0,0,0,1
3,CSC_x_CSR,11873,0,0,0,0,0,1
3,CSC_x_COO,11999,0,0,0,0,0,1
3,COO_x_CSR,12132,0,0,0,0,0,1
3,COO_x_CSC,12400,0,0,0,0,0,1
3,COO_x_COO,12586,0,0,0,0,0,1
2,CSR_x_CSR,12357,0,0,0,0,0,1
2,CSR_x_CSC,12573,0,0,0,0,0,1
2,CSR_x_COO,12732,0,0,0,0,0,1
2,CSC_x_CSR,12803,0,0,0,0,0,1
2,CSC_x_COO,12900,0,0,0,0,0,1
2,COO_x_CSR,9871,0,0,0,0,0,0
2,COO_x_CSC,13091,0,0,0,0,0,1
2,COO_x_COO,13349,0,0,0,0,0,1
1,CSR_x_CSR,13430,0,0,0,0,0,1
1,CSR_x_CSC,9133,0,0,0,0,0,0
1,CSR_x_COO,13501,0,0,0,0,0,1
1,CSC_x_CSR,13665,0,0,0,0,0,1
1,CSC_x_COO,13761,0,0,0,0,0,1
1,COO_x_CSR,13909,0,0,0,0,0,1
1,COO_x_CSC,14113,0,0,0,0,0,1
1,COO_x_COO,14179,0,0,0,0,0,1
