k,function,time,faults,bytes,flops,memops,cache,branch
2,CSR_x_CSR,4345,0,0,0,0,0,1
2,CSR_x_CSC,4461,0,0,0,0,0,1
2,CSR_x_COO,4548,0,0,0,0,0,1
2,CSC_x_CSR,4542,0,0,0,0,0,1
2,CSC_x_COO,4502,0,0,0,0,0,0
2,COO_x_CSR,4684,0,0,0,0,0,1
2,COO_x_CSC,4731,0,0,0,0,0,1
2,COO_x_COO,4814,0,0,0,0,0,1
1,CSR_x_CSR,4893,0,0,0,0,0,1
1,CSR_x_CSC,5063,0,0,0,0,0,1
1,CSR_x_COO,5019,0,0,0,0,0,1
1,CSC_x_CSR,5256,0,0,0,0,0,1
1,CSC_x_COO,5003,0,0,0,0,0,1
1,COO_x_CSR,5269,0,0,0,0,0,1
1,COO_x_CSC,4317,0,0,0,0,0,0
1,COO_x_COO,4307,0,0,0,0,0,0
