k,function,time,faults,bytes,flops,memops,cache,branch
10,CSR_x_CSR,27430,0,0,0,0,0,10
10,CSR_x_CSC,17674446,0,0,0,0,4,447793
10,CSR_x_COO,1272139,0,0,0,0,0,7795
10,CSC_x_CSR,28393,0,0,0,0,0,38
10,CSC_x_COO,31025,0,0,0,0,0,41
10,COO_x_CSR,30919,0,0,0,0,0,12
10,COO_x_CSC,16431491,0,0,0,0,11,443794
10,COO_x_COO,1303543,0,0,0,0,1,9241
9,CSR_x_CSR,13899,0,0,0,0,0,3
9,CSR_x_CSC,3884557,0,0,0,0,2,102237
9,CSR_x_COO,303352,0,0,0,0,0,1188
9,CSC_x_CSR,14673,0,0,0,0,0,11
9,CSC_x_COO,16003,0,0,0,0,0,15
9,COO_x_CSR,14688,0,0,0,0,0,14
9,COO_x_CSC,3630112,0,0,0,0,0,99380
9,COO_x_COO,317528,0,0,0,0,0,1585
8,CSR_x_CSR,7762,0,0,0,0,0,1
8,CSR_x_CSC,472943,0,0,0,0,0,10059
8,CSR_x_COO,51994,0,0,0,0,0,128
8,CSC_x_CSR,7949,0,0,0,0,0,3
8,CSC_x_COO,8078,0,0,0,0,0,2
8,COO_x_CSR,8198,0,0,0,0,0,1
8,COO_x_CSC,413131,0,0,0,0,0,9957
8,COO_x_COO,53203,0,0,0,0,0,131
7,CSR_x_CSR,7079,0,0,0,0,0,2
7,CSR_x_CSC,77021,0,0,0,0,0,130
7,CSR_x_COO,24216,0,0,0,0,0,36
7,CSC_x_CSR,7747,0,0,0,0,0,1
7,CSC_x_COO,7343,0,0,0,0,0,2
7,COO_x_CSR,7456,0,0,0,0,0,1
7,COO_x_CSC,59294,0,0,0,0,0,37
7,COO_x_COO,23735,0,0,0,0,0,35
5,CSR_x_CSR,6674,0,0,0,0,0,1
5,CSR_x_CSC,11224,0,0,0,0,0,5
5,CSR_x_COO,7971,0,0,0,0,0,1
5,CSC_x_CSR,6743,0,0,0,0,0,2
5,CSC_x_COO,5155,0,0,0,0,0,0
5,COO_x_CSR,7172,0,0,0,0,0,1
5,COO_x_CSC,9624,0,0,0,0,0,1
5,COO_x_COO,8770,0,0,0,0,0,1
4,CSR_x_CSR,4643,0,0,0,0,0,0
4,CSR_x_CSC,7811,0,0,0,0,0,1
4,CSR_x_COO,7276,0,0,0,0,0,1
4,CSC_x_CSR,7294,0,0,0,0,0,1
4,CSC_x_COO,7803,0,0,0,0,0,1
4,COO_x_CSR,7539,0,0,0,0,0,1
4,COO_x_CSC,6471,0,0,0,0,0,0
4,COO_x_COO,5114,0,0,0,0,0,0
6,CSR_x_CSR,4562,0,0,0,0,0,0
6,CSR_x_CSC,12680,0,0,0,0,0,0
6,CSR_x_COO,4670,0,0,0,0,0,0
6,CSC_x_CSR,4488,0,0,0,0,0,0
6,CSC_x_COO,4433,0,0,0,0,0,0
6,COO_x_CSR,4457,0,0,0,0,0,0
6,COO_x_CSC,8634,0,0,0,0,0,4
6,COO_x_COO,8525,0,0,0,0,0,1
3,CSR_x_CSR,8348,0,0,0,0,0,1
3,CSR_x_CSC,4686,0,0,0,0,0,0
3,CSR_x_COO,4709,0,0,0,0,0,0
3,CSC_x_CSR,4413,0,0,0,0,0,0
3,CSC_x_COO,4464,0,0,0,0,0,0
3,COO_x_CSR,4610,0,0,0,0,0,0
3,COO_x_CSC,8533,0,0,0,0,0,1
3,COO_x_COO,9119,0,0,0,0,0,2
2,CSR_x_CSR,9273,0,0,0,0,0,1
2,CSR_x_CSC,9338,0,0,0,0,0,1
2,CSR_x_COO,9202,0,0,0,0,0,1
2,CSC_x_CSR,9539,0,0,0,0,0,1
2,CSC_x_COO,4384,0,0,0,0,0,0
2,COO_x_CSR,4556,0,0,0,0,0,0
2,COO_x_CSC,4388,0,0,0,0,0,0
2,COO_x_COO,4773,0,0,0,0,0,0
1,CSR_x_CSR,9192,0,0,0,0,0,1
1,CSR_x_CSC,9202,0,0,0,0,0,1
1,CSR_x_COO,9300,0,0,0,0,0,1
1,CSC_x_CSR,9693,0,0,0,0,0,1
1,CSC_x_COO,10098,0,0,0,0,0,1
1,COO_x_CSR,10104,0,0,0,0,0,1
1,COO_x_CSC,10109,0,0,0,0,0,1
1,COO_x_COO,9506,0,0,0,0,0,2
