k,function,time,faults,bytes,flops,memops,cache,branch
10,CSR_x_CSR,59114,0,0,0,0,0,3
10,CSR_x_CSC,38340983,0,0,0,0,18,439567
10,CSR_x_COO,2781430,0,0,0,0,0,7896
10,CSC_x_CSR,62508,0,0,0,0,0,38
10,CSC_x_COO,62946,0,0,0,0,0,39
10,COO_x_CSR,61703,0,0,0,0,0,5
10,COO_x_CSC,35804261,0,0,0,0,13304,445502
10,COO_x_COO,2875259,0,0,0,0,0,10185
9,CSR_x_CSR,30189,0,0,0,0,0,2
9,CSR_x_CSC,8589691,0,0,0,0,21,100510
9,CSR_x_COO,656088,0,0,0,0,0,1180
9,CSC_x_CSR,31838,0,0,0,0,0,11
9,CSC_x_COO,32455,0,0,0,0,0,10
9,COO_x_CSR,31157,0,0,0,0,0,2
9,COO_x_CSC,7913458,0,0,0,0,1,98745
9,COO_x_COO,673826,0,0,0,0,1,1536
8,CSR_x_CSR,16972,0,0,0,0,0,1
8,CSR_x_CSC,960159,0,0,0,0,1,8443
8,CSR_x_COO,111763,0,0,0,0,0,121
8,CSC_x_CSR,17252,0,0,0,0,0,3
8,CSC_x_COO,17430,0,0,0,0,0,2
8,COO_x_CSR,17439,0,0,0,0,0,1
8,COO_x_CSC,898676,0,0,0,0,0,9891
8,COO_x_COO,115271,0,0,0,0,0,134
7,CSR_x_CSR,15476,0,0,0,0,0,1
7,CSR_x_CSC,161873,0,0,0,0,0,92
7,CSR_x_COO,49680,0,0,0,0,0,31
7,CSC_x_CSR,15645,0,0,0,0,0,1
7,CSC_x_COO,15774,0,0,0,0,0,2
7,COO_x_CSR,16115,0,0,0,0,0,1
7,COO_x_CSC,123323,0,0,0,0,0,33
7,COO_x_COO,51372,0,0,0,0,0,28
5,CSR_x_CSR,14247,0,0,0,0,0,1
5,CSR_x_CSC,22642,0,0,0,0,0,5
5,CSR_x_COO,16494,0,0,0,0,0,1
5,CSC_x_CSR,14711,0,0,0,0,0,1
5,CSC_x_COO,14855,0,0,0,0,0,1
5,COO_x_CSR,9379,0,0,0,0,0,0
5,COO_x_CSC,20923,0,0,0,0,0,2
5,COO_x_COO,17609,0,0,0,0,0,1
4,CSR_x_CSR,14849,0,0,0,0,0,1
4,CSR_x_CSC,16928,0,0,0,0,0,1
4,CSR_x_COO,15693,0,0,0,0,0,1
4,CSC_x_CSR,15294,0,0,0,0,0,1
4,CSC_x_COO,15504,0,0,0,0,0,1
4,COO_x_CSR,15629,0,0,0,0,0,1
4,COO_x_CSC,17378,0,0,0,0,0,1
4,COO_x_COO,16551,0,0,0,0,0,1
6,CSR_x_CSR,16236,0,0,0,0,0,1
6,CSR_x_CSC,28855,0,0,0,0,0,57
6,CSR_x_COO,16670,0,0,0,0,0,1
6,CSC_x_CSR,16628,0,0,0,0,0,1
6,CSC_x_COO,16687,0,0,0,0,0,1
6,COO_x_CSR,7287,0,0,0,0,0,0
6,COO_x_CSC,18230,0,0,0,0,0,5
6,COO_x_COO,17329,0,0,0,0,0,1
3,CSR_x_CSR,17556,0,0,0,0,0,1
3,CSR_x_CSC,9429,0,0,0,0,0,0
3,CSR_x_COO,17972,0,0,0,0,0,1
3,CSC_x_CSR,17956,0,0,0,0,0,1
3,CSC_x_COO,18246,0,0,0,0,0,1
3,COO_x_CSR,17864,0,0,0,0,0,1
3,COO_x_CSC,7610,0,0,0,0,0,0
3,COO_x_COO,18509,0,0,0,0,0,1
2,CSR_x_CSR,18739,0,0,0,0,0,1
2,CSR_x_CSC,18804,0,0,0,0,0,1
2,CSR_x_COO,18990,0,0,0,0,0,1
2,CSC_x_CSR,19000,0,0,0,0,0,1
2,CSC_x_COO,19319,0,0,0,0,0,1
2,COO_x_CSR,19215,0,0,0,0,0,1
2,COO_x_CSC,19479,0,0,0,0,0,1
2,COO_x_COO,19631,0,0,0,0,0,1
1,CSR_x_CSR,20117,0,0,0,0,0,1
1,CSR_x_CSC,19977,0,0,0,0,0,1
1,CSR_x_COO,20010,0,0,0,0,0,1
1,CSC_x_CSR,20195,0,0,0,0,0,1
1,CSC_x_COO,20434,0,0,0,0,0,1
1,COO_x_CSR,20316,0,0,0,0,0,1
1,COO_x_CSC,20318,0,0,0,0,0,1
1,COO_x_COO,20495,0,0,0,0,0,1
