row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time
16,16,256,4,16,0.0010,0,36,1359
16,16,256,8,32,0.0020,0,60,1602
16,16,256,12,48,0.0030,0,96,1949
16,16,256,16,64,0.0040,0,136,2305
16,16,256,20,80,0.0050,0,112,2104
16,16,256,24,96,0.0060,0,132,2289
16,16,256,28,112,0.0070,2,136,2327
16,16,256,32,128,0.0080,4,136,2340
16,16,256,36,144,0.0090,12,204,2965
16,16,256,40,160,0.0100,10,212,3035
16,16,256,80,320,0.0200,72,508,5738
16,16,256,120,480,0.0300,108,748,8000
16,16,256,160,640,0.0400,184,1024,10516
16,16,256,200,800,0.0500,374,1676,16176
16,16,256,240,960,0.0600,446,1856,17919
16,16,256,280,1120,0.0700,622,2344,22283
16,16,256,320,1280,0.0800,842,3104,29376
16,16,256,360,1440,0.0900,894,3096,29018
16,16,256,400,1600,0.1000,1310,4200,38966
16,16,256,440,1760,0.1100,1544,4912,46114
16,16,256,840,3360,0.2100,5920,15308,163214
16,16,256,1240,4960,0.3100,12318,29700,314977
16,16,256,1640,6560,0.4100,22668,52116,538659
16,16,256,2040,8160,0.5100,34146,76612,775424
16,16,256,2440,9760,0.6100,48184,106312,1065796
16,16,256,2840,11360,0.7100,67958,147824,1455178
16,16,256,3240,12960,0.8100,83608,180376,1771515
16,16,256,3640,14560,0.9100,107362,229624,2214134
16,16,256,4040,16160,1.0100,131072,278560,2583004
