row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time
16,16,256,0,0,0.010000,0,0,0
16,16,256,74,81,0.020000,2368,4212,21827
16,16,256,119,114,0.030000,3808,6462,35653
16,16,256,141,160,0.040000,4512,7562,38900
16,16,256,209,208,0.050000,6688,10962,56959
16,16,256,253,243,0.060000,8096,13162,74821
16,16,256,303,287,0.070000,9696,15662,86095
16,16,256,290,298,0.080000,9280,15012,82671
16,16,256,360,379,0.090000,11520,18512,95502
16,16,256,404,415,0.100000,12928,20712,106757
16,16,256,465,443,0.110000,14880,23762,130921
16,16,256,829,847,0.210000,26528,41962,213182
16,16,256,1250,1294,0.310000,40000,63012,319728
16,16,256,1682,1757,0.410000,53824,84612,436439
16,16,256,2091,2088,0.510000,66912,105062,528372
16,16,256,2479,2484,0.610000,79328,124462,624284
16,16,256,2955,2904,0.710000,94560,148262,758934
16,16,256,3332,3326,0.810000,106624,167112,833885
16,16,256,3732,3720,0.910000,119424,187112,958502
16,16,256,4096,4096,1.010000,131072,205312,1096645
