row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time,bytes
32,32,32,0,0,0.000000,0,64,845,256
32,32,32,11,8,0.010000,2,270,2283,1096
32,32,32,59,50,0.050000,194,2719,19400,12232
32,32,32,114,92,0.100000,646,5796,40489,27512
32,32,32,214,197,0.200000,2574,13518,97749,70372
32,32,32,291,339,0.300000,6050,25151,192586,138068
32,32,32,425,428,0.400000,11398,39330,282116,227408
32,32,32,543,499,0.500000,16890,53058,374896,315744
32,32,32,595,642,0.600000,23854,71580,520648,431824
32,32,32,733,702,0.700000,32216,90388,657035,557780
32,32,32,815,825,0.800000,42080,114231,836318,712664
32,32,32,917,929,0.900000,53340,140367,1001501,885176
32,32,32,1024,1024,1.000000,65536,168000,1206686,1069312
