row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time,bytes
32,32,32,0,0,0.000000,0,64,844,256
32,32,32,11,8,0.010000,2,100,1166,444
32,32,32,59,50,0.050000,194,652,5005,3972
32,32,32,114,92,0.100000,646,1724,12690,11140
32,32,32,214,197,0.200000,2574,6000,44780,40232
32,32,32,291,339,0.300000,6050,13520,97133,91736
32,32,32,425,428,0.400000,11398,24572,163978,168388
32,32,32,543,499,0.500000,16890,35840,235668,246696
32,32,32,595,642,0.600000,23854,50340,353442,347052
32,32,32,733,702,0.700000,32216,67304,476731,465320
32,32,32,815,825,0.800000,42080,87524,618091,605876
32,32,32,917,929,0.900000,53340,110460,713662,765596
32,32,32,1024,1024,1.000000,65536,135232,950206,938240
