row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time,bytes
32,32,32,0,0,0.000000,0,0,454,0
32,32,32,11,8,0.010000,2,1147,8592,5876
32,32,32,59,50,0.050000,194,6954,56622,32304
32,32,32,114,92,0.100000,646,13036,124658,58824
32,32,32,214,197,0.200000,2574,26092,290613,118760
32,32,32,291,339,0.300000,6050,40259,521064,189332
32,32,32,425,428,0.400000,11398,55565,658720,271948
32,32,32,543,499,0.500000,16890,68387,811863,345204
32,32,32,595,642,0.600000,23854,81291,938262,424676
32,32,32,733,702,0.700000,32216,94395,986309,510540
32,32,32,815,825,0.800000,42080,107891,1020578,603980
32,32,32,917,929,0.900000,53340,121755,1033059,704476
32,32,32,1024,1024,1.000000,65536,135200,1034643,807040
