row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time,bytes
32,32,32,0,0,0.000000,0,64,845,256
32,32,32,11,8,0.010000,704,1142,8312,8836
32,32,32,59,50,0.050000,3776,5846,44763,46276
32,32,32,114,92,0.100000,7296,11236,83836,89176
32,32,32,214,197,0.200000,13696,21036,143739,167176
32,32,32,291,339,0.300000,18624,28582,195471,227236
32,32,32,425,428,0.400000,27200,41714,286049,331756
32,32,32,543,499,0.500000,34752,53278,387423,423796
32,32,32,595,642,0.600000,38080,58374,398795,464356
32,32,32,733,702,0.700000,46912,71898,531098,571996
32,32,32,815,825,0.800000,52160,79934,584406,635956
32,32,32,917,929,0.900000,58688,89930,606306,715516
32,32,32,1024,1024,1.000000,65536,100416,734110,798976
