row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time,bytes
32,32,32,0,0,0.000000,0,64,842,256
32,32,32,11,8,0.010000,704,1142,9467,8836
32,32,32,59,50,0.050000,3776,5846,40105,46276
32,32,32,114,92,0.100000,7296,11236,83054,89176
32,32,32,214,197,0.200000,13696,21036,154407,167176
32,32,32,291,339,0.300000,18624,28582,203560,227236
32,32,32,425,428,0.400000,27200,41714,288612,331756
32,32,32,543,499,0.500000,34752,53278,358752,423796
32,32,32,595,642,0.600000,38080,58374,391217,464356
32,32,32,733,702,0.700000,46912,71898,525047,571996
32,32,32,815,825,0.800000,52160,79934,535070,635956
32,32,32,917,929,0.900000,58688,89930,602688,715516
32,32,32,1024,1024,1.000000,65536,100416,683783,798976
