row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time,bytes
32,32,32,0,0,0.000000,0,4096,27681,24576
32,32,32,11,8,0.010000,512,4864,33754,29696
32,32,32,59,50,0.050000,3200,8896,62066,56576
32,32,32,114,92,0.100000,5888,12928,91954,83456
32,32,32,214,197,0.200000,12608,23008,169901,150656
32,32,32,291,339,0.300000,21696,36640,240183,241536
32,32,32,425,428,0.400000,27392,45184,318225,298496
32,32,32,543,499,0.500000,31936,52000,388928,343936
32,32,32,595,642,0.600000,41088,65728,488015,435456
32,32,32,733,702,0.700000,44928,71488,477259,473856
32,32,32,815,825,0.800000,52800,83296,527301,552576
32,32,32,917,929,0.900000,59456,93280,614658,619136
32,32,32,1024,1024,1.000000,65536,102400,645821,679936
