row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time,bytes
16,16,256,37,45,0.010000,1440,2208,18412,15616
16,16,256,71,80,0.020000,2560,3328,27598,24576
16,16,256,108,126,0.030000,4032,4800,42800,36352
16,16,256,149,171,0.040000,5472,6240,52083,47872
16,16,256,203,200,0.050000,6400,7168,63920,55296
16,16,256,264,231,0.060000,7392,8160,65307,63232
16,16,256,269,256,0.070000,8192,8960,77745,69632
16,16,256,317,324,0.080000,10368,11136,87977,87040
16,16,256,387,367,0.090000,11744,12512,105092,98048
16,16,256,410,418,0.100000,13376,14144,109960,111104
16,16,256,778,801,0.200000,25632,26400,196847,209152
16,16,256,1218,1256,0.300000,40192,40960,324615,325632
16,16,256,1649,1659,0.400000,53088,53856,388681,428800
16,16,256,2067,2018,0.500000,64576,65344,469457,520704
16,16,256,2448,2451,0.600000,78432,79200,571819,631552
16,16,256,2890,2872,0.700000,91904,92672,662155,739328
16,16,256,3284,3261,0.800000,104352,105120,811841,838912
16,16,256,3699,3662,0.900000,117184,117952,900574,941568
