row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time,bytes
16,16,256,37,45,0.010000,12,1122,8902,4708
16,16,256,71,80,0.020000,52,1270,10263,5676
16,16,256,108,126,0.030000,114,1468,11684,6988
16,16,256,149,171,0.040000,210,1742,14839,8824
16,16,256,203,200,0.050000,272,1974,16970,10340
16,16,256,264,231,0.060000,442,2436,21342,13452
16,16,256,269,256,0.070000,526,2614,22922,14688
16,16,256,317,324,0.080000,872,3402,28135,20108
16,16,256,387,367,0.090000,1150,4098,36419,24840
16,16,256,410,418,0.100000,1256,4356,36618,26600
16,16,256,778,801,0.200000,4774,12128,106923,80268
16,16,256,1218,1256,0.300000,11970,27400,233687,186292
16,16,256,1649,1659,0.400000,21542,47406,365779,325472
16,16,256,2067,2018,0.500000,32356,69870,576319,481884
16,16,256,2448,2451,0.600000,47066,100052,818725,692396
16,16,256,2890,2872,0.700000,64886,136576,1015678,947180
16,16,256,3284,3261,0.800000,83738,175068,1330508,1215836
16,16,256,3699,3662,0.900000,105760,219942,1637700,1529124
