row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time
16,16,256,0,0,0.000000,0,0,0
16,16,256,4,7,0.001000,128,232,1125
16,16,256,5,9,0.002000,160,282,1138
16,16,256,14,17,0.003000,448,732,1316
16,16,256,19,20,0.004000,608,982,1416
16,16,256,29,15,0.005000,928,1482,1626
16,16,256,20,20,0.006000,640,1032,1430
16,16,256,21,33,0.007000,672,1082,1442
16,16,256,31,29,0.008000,992,1582,1677
16,16,256,29,36,0.009000,928,1482,1602
16,16,256,41,52,0.010000,1312,2082,1930
16,16,256,91,87,0.020000,2912,4582,3370
16,16,256,109,124,0.030000,3488,5482,3909
16,16,256,164,164,0.040000,5248,8232,5637
16,16,256,198,208,0.050000,6336,9932,6606
16,16,256,262,239,0.060000,8384,13132,8659
16,16,256,289,298,0.070000,9248,14482,9470
16,16,256,307,322,0.080000,9824,15382,10019
16,16,256,384,360,0.090000,12288,19232,12325
16,16,256,359,381,0.100000,11488,17982,11569
16,16,256,431,479,0.110000,13792,21582,13712
16,16,256,819,860,0.210000,26208,40982,25358
16,16,256,1247,1292,0.310000,39904,62382,38171
16,16,256,1710,1661,0.410000,54720,85532,50105
16,16,256,2160,2132,0.510000,69120,108032,65560
16,16,256,2467,2471,0.610000,78944,123382,71070
16,16,256,2862,2976,0.710000,91584,143132,86552
16,16,256,3334,3297,0.810000,106688,166732,95551
16,16,256,3692,3727,0.910000,118144,184632,106281
16,16,256,4096,4096,1.010000,131072,204832,117576
