row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time
16,16,256,4,16,0.0010,32,562,5612
16,16,256,8,32,0.0020,224,862,9310
16,16,256,12,48,0.0030,512,1312,14766
16,16,256,16,64,0.0040,832,1812,20544
16,16,256,20,80,0.0050,640,1512,17039
16,16,256,24,96,0.0060,800,1762,19953
16,16,256,28,112,0.0070,800,1762,19993
16,16,256,32,128,0.0080,768,1712,19442
16,16,256,36,144,0.0090,1184,2362,27032
16,16,256,40,160,0.0100,1280,2512,28494
16,16,256,80,320,0.0200,2656,4662,52404
16,16,256,120,480,0.0300,4000,6762,75663
16,16,256,160,640,0.0400,4992,8312,93032
16,16,256,200,800,0.0500,7168,11712,131496
16,16,256,240,960,0.0600,7456,12162,136056
16,16,256,280,1120,0.0700,8544,13862,155516
16,16,256,320,1280,0.0800,11104,17862,199673
16,16,256,360,1440,0.0900,10208,16462,184872
16,16,256,400,1600,0.1000,12384,19862,223058
16,16,256,440,1760,0.1100,14336,22912,256214
16,16,256,840,3360,0.2100,27488,43462,479072
16,16,256,1240,4960,0.3100,40256,63412,696655
16,16,256,1640,6560,0.4100,53984,84862,928380
16,16,256,2040,8160,0.5100,66304,104112,1132911
16,16,256,2440,9760,0.6100,79296,124412,1352382
16,16,256,2840,11360,0.7100,95008,148962,1618962
16,16,256,3240,12960,0.8100,105024,164612,1789565
16,16,256,3640,14560,0.9100,118944,186362,2021076
16,16,256,4040,16160,1.0100,131072,205312,2232415
