row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time
16,16,256,4,16,0.0010,32,82,1863
16,16,256,8,32,0.0020,224,382,5110
16,16,256,12,48,0.0030,512,832,10028
16,16,256,16,64,0.0040,832,1332,15582
16,16,256,20,80,0.0050,640,1032,12254
16,16,256,24,96,0.0060,800,1282,15111
16,16,256,28,112,0.0070,800,1282,15016
16,16,256,32,128,0.0080,768,1232,14291
16,16,256,36,144,0.0090,1184,1882,21692
16,16,256,40,160,0.0100,1280,2032,23233
16,16,256,80,320,0.0200,2656,4182,46658
16,16,256,120,480,0.0300,4000,6282,69287
16,16,256,160,640,0.0400,4992,7832,86016
16,16,256,200,800,0.0500,7168,11232,127965
16,16,256,240,960,0.0600,7456,11682,127489
16,16,256,280,1120,0.0700,8544,13382,145626
16,16,256,320,1280,0.0800,11104,17382,188586
16,16,256,360,1440,0.0900,10208,15982,173377
16,16,256,400,1600,0.1000,12384,19382,210303
16,16,256,440,1760,0.1100,14336,22432,242664
16,16,256,840,3360,0.2100,27488,42982,462709
16,16,256,1240,4960,0.3100,40256,62932,679409
16,16,256,1640,6560,0.4100,53984,84382,909542
16,16,256,2040,8160,0.5100,66304,103632,1117388
16,16,256,2440,9760,0.6100,79296,123932,1335200
16,16,256,2840,11360,0.7100,95008,148482,1601593
16,16,256,3240,12960,0.8100,105024,164132,1763138
16,16,256,3640,14560,0.9100,118944,185882,2003096
16,16,256,4040,16160,1.0100,131072,204832,2206581
