row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time
16,16,256,0,0,0.000000,0,0,0
16,16,256,4,7,0.001000,0,48,1065
16,16,256,5,9,0.002000,0,52,1055
16,16,256,14,17,0.003000,0,88,1085
16,16,256,19,20,0.004000,2,112,1121
16,16,256,29,15,0.005000,2,152,1176
16,16,256,20,20,0.006000,2,116,1126
16,16,256,21,33,0.007000,4,124,1124
16,16,256,31,29,0.008000,12,180,1195
16,16,256,29,36,0.009000,8,164,1176
16,16,256,41,52,0.010000,18,232,1253
16,16,256,91,87,0.020000,82,560,1516
16,16,256,109,124,0.030000,108,684,1671
16,16,256,164,164,0.040000,184,1056,1959
16,16,256,198,208,0.050000,332,1488,2545
16,16,256,262,239,0.060000,448,1976,2784
16,16,256,289,298,0.070000,628,2444,2883
16,16,256,307,322,0.080000,814,2888,3194
16,16,256,384,360,0.090000,1110,3788,3776
16,16,256,359,381,0.100000,1010,3488,3626
16,16,256,431,479,0.110000,1596,4948,4330
16,16,256,819,860,0.210000,5420,14148,9450
16,16,256,1247,1292,0.310000,12536,30092,20217
16,16,256,1710,1661,0.410000,22234,51340,32706
16,16,256,2160,2132,0.510000,36036,80744,49721
16,16,256,2467,2471,0.610000,47610,105120,81458
16,16,256,2862,2976,0.710000,66444,144368,118678
16,16,256,3334,3297,0.810000,85878,185124,140748
16,16,256,3692,3727,0.910000,107544,229888,166531
16,16,256,4096,4096,1.010000,131072,278560,163603
